qid,term,context,sims,most_similar_synonym
1101090,azadpour,dr azadpour phone number,"['doctor', 'physician', 'clinician', 'medic', 'surgeon', 'specialist', 'practitioner', 'therapist', 'pediatrician', 'oncologist']",oncologist
511367,nfcu,telephone number for nfcu,"['creditunion', 'bank', 'financial', 'savings', 'loan', 'money', 'invest', 'deposit', 'account', 'transactions']",creditunion
1029552,tosca,what is tosca automation tool,"['software', 'automation', 'tool', 'testing', 'application', 'framework', 'technology', 'solution', 'system', 'platform']",testing
444350,mageirocophobia,mageirocophobia definition,"['fear', 'phobia', 'anxiety', 'cooking', 'stress', 'panic', 'aversion', 'disorder', 'dread', 'trepidation']",trepidation
992652,setaf,where is setaf headquarters,"['military', 'base', 'command', 'army', 'force', 'unit', 'installation', 'division', 'brigade', 'corps']",unit
82161,windirstat,cannot uninstall windirstat,"['software', 'application', 'program', 'utility', 'tool', 'system', 'cleanup', 'disk', 'storage', 'analysis']",application
787784,provocative,what is provocative allergy testing,"['stimulating', 'testing', 'allergy', 'trigger', 'response', 'reaction', 'exposure', 'sensitivity', 'diagnostic', 'immune']",diagnostic
768411,mapanything?,what is mapanything?,"['mapping', 'software', 'location', 'gps', 'navigation', 'tracking', 'application', 'tool', 'geolocation', 'route']",geolocation
798967,spredfast,what is spredfast,"['socialmedia', 'marketing', 'platform', 'tool', 'software', 'engagement', 'analytics', 'management', 'content', 'campaign']",socialmedia
180887,enu,enu protein shake,"['nutrition', 'shake', 'protein', 'supplement', 'meal', 'energy', 'diet', 'drink', 'health', 'fitness']",shake
492988,saptco,saptco bus schedule,"['transport', 'bus', 'schedule', 'transit', 'travel', 'route', 'timetable', 'service', 'public', 'commute']",commute
1088475,"holmes,ny","weather in holmes,ny","['weather', 'forecast', 'temperature', 'climate', 'conditions', 'meteorology', 'rain', 'snow', 'sunny', 'storm']",meteorology
1090945,ryder,ryder phone number,"['logistics', 'transport', 'trucking', 'freight', 'shipping', 'warehouse', 'distribution', 'cargo', 'fleet', 'supplychain']",warehouse
193866,izzam,general izzam,"['military', 'general', 'officer', 'commander', 'leader', 'army', 'force', 'strategy', 'tactics', 'operations']",force
1100357,ardmore,ardmore social security office phone number,"['government', 'benefits', 'socialsecurity', 'office', 'administration', 'service', 'support', 'assistance', 'agency', 'public']",socialsecurity
329958,pesto,how much vitamin k in pesto,"['sauce', 'basil', 'italian', 'cuisine', 'cooking', 'garlic', 'nutrient', 'herb', 'flavor', 'condiment']",condiment
477286,antigonish,population of antigonish,"['town', 'community', 'demographics', 'census', 'residents', 'locale', 'municipality', 'population', 'area', 'region']",locale
1100403,arcadis,arcadis phone number,"['engineering', 'consultancy', 'construction', 'design', 'infrastructure', 'project', 'environmental', 'planning', 'architecture', 'development']",development
1085779,canopius,canopius us insurance inc phone number,"['insurance', 'underwriter', 'coverage', 'policy', 'claims', 'risk', 'financial', 'commercial', 'property', 'liability']",underwriter
820027,lithotrophy,what is the electron donor for lithotrophy,"['metabolism', 'bacteria', 'biochemistry', 'energy', 'microbiology', 'chemotrophy', 'organisms', 'nutrient', 'environment', 'biological']",chemotrophy
1062223,animsition,what is animsition,"['plugin', 'animation', 'web', 'javascript', 'transition', 'effect', 'pageload', 'interactive', 'design', 'ui']",transition
1089401,tsca,tsca definition malpractice claim,"['regulation', 'chemical', 'safety', 'environmental', 'compliance', 'standard', 'law', 'legislation', 'policy', 'hazard']",chemical
840445,prentice-hall,"what is the prentice-hall corporation system, inc.","['publishing', 'books', 'education', 'textbooks', 'academic', 'learning', 'scholarly', 'literature', 'resource', 'materials']",publishing
428819,swegway,is there an age limit for using a swegway,"['hoverboard', 'scooter', 'transport', 'ride', 'balance', 'electric', 'gadget', 'mobile', 'fun', 'recreational']",gadget
774866,myfortic,what is myfortic,"['medicine', 'immunosuppressant', 'drug', 'transplant', 'treatment', 'pharmaceutical', 'healthcare', 'prescription', 'therapy', 'organ']",immunosuppressant
1045135,wellesley,what is the acceptance rate at wellesley,"['college', 'university', 'education', 'institution', 'academic', 'liberalarts', 'women', 'highered', 'campus', 'scholar']",liberalarts
1090839,bossov,adam bossov,"['person', 'individual', 'man', 'professional', 'entrepreneur', 'specialist', 'expert', 'consultant', 'advisor', 'director']",director
1100499,trematodiases,foodborne trematodiases symptoms,"['parasite', 'infection', 'disease', 'illness', 'health', 'condition', 'fluke', 'gastrointestinal', 'liver', 'infectious']",gastrointestinal
1085229,wendelville,what county is wendelville ny in,"['town', 'village', 'locale', 'community', 'region', 'area', 'district', 'municipality', 'county', 'rural']",locale
860942,viastone,what is viastone,"['material', 'stone', 'building', 'construction', 'aggregate', 'masonry', 'composite', 'industrial', 'engineering', 'product']",industrial
1000798,alpha,alpha orthodontic,"['dental', 'braces', 'treatment', 'orthodontics', 'teeth', 'clinic', 'care', 'health', 'dentistry', 'align']",orthodontics
1028752,watamote,what is watamote,"['anime', 'manga', 'series', 'show', 'japanese', 'otaku', 'comic', 'animation', 'entertainment', 'cult']",otaku
1088541,"fletcher,nc","weather in fletcher,nc","['climate', 'forecast', 'temperature', 'meteorology', 'conditions', 'rain', 'snow', 'sunny', 'weather', 'atmosphere']",meteorology
234165,saluki,how fast is a saluki,"['dog', 'hound', 'breed', 'canine', 'pet', 'animal', 'speed', 'racing', 'runner', 'swift']",speed
1085510,carewell,carewell urgent,"['clinic', 'medical', 'health', 'care', 'emergency', 'service', 'urgentcare', 'treatment', 'healthcare', 'doctor']",urgentcare
788851,qualfon,what is qualfon,"['company', 'service', 'customer', 'callcenter', 'business', 'outsourcing', 'support', 'solutions', 'provider', 'bpo']",callcenter
1064808,acantholysis,what is acantholysis,"['dermatology', 'skin', 'disease', 'disorder', 'cells', 'pathology', 'medical', 'health', 'condition', 'tissue']",dermatology
1093438,lickspittle,lickspittle defined,"['sycophant', 'flatterer', 'toady', 'bootlicker', 'brownnoser', 'fawner', 'subservient', 'obsequious', 'servile', 'adulator']",brownnoser
428773,wunderlist,is there a wunderlist app for android,"['app', 'software', 'tool', 'task', 'organizer', 'list', 'productivity', 'management', 'planning', 'utility']",productivity
448976,potsherd,meaning of potsherd,"['fragment', 'ceramic', 'artifact', 'archaeology', 'pottery', 'historical', 'clay', 'shard', 'piece', 'antiquity']",shard
434835,konig,konig class battleship,"['ship', 'warship', 'naval', 'military', 'vessel', 'marine', 'fleet', 'armament', 'sea', 'battle']",vessel
1020376,amplicons,what size should amplicons be,"['dna', 'sequence', 'genetics', 'pcr', 'fragment', 'molecular', 'biology', 'amplification', 'template', 'primers']",amplification
1090808,semispinalis,semispinalis function,"['muscle', 'back', 'anatomy', 'spine', 'posture', 'strength', 'movement', 'torso', 'skeletal', 'cervical']",movement
443081,lotte,lotte world skyscraper,"['tower', 'building', 'skyscraper', 'structure', 'highrise', 'landmark', 'architecture', 'edifice', 'urban', 'city']",highrise
482666,defdinition,prohibition defdinition,"['ban', 'law', 'restriction', 'prohibition', 'rule', 'regulation', 'decree', 'legal', 'order', 'control']",order
1048917,misconfiguration,what is operating system misconfiguration,"['error', 'issue', 'problem', 'fault', 'bug', 'glitch', 'setup', 'system', 'configuration', 'technical']",glitch
1090374,strategery,strategery definition,"['strategy', 'plan', 'tactic', 'approach', 'method', 'scheme', 'gameplan', 'blueprint', 'design', 'policy']",gameplan
452572,mems,mems who is the leader,"['technology', 'microsystems', 'sensors', 'devices', 'electronics', 'nano', 'engineering', 'micro', 'components', 'systems']",nano
1088444,kashan,weather in kashan,"['climate', 'forecast', 'temperature', 'conditions', 'meteorology', 'hot', 'dry', 'seasonal', 'weather', 'atmosphere']",meteorology
986325,lapham,where is lapham peak,"['park', 'nature', 'trail', 'hiking', 'outdoor', 'recreation', 'peak', 'reserve', 'area', 'scenic']",peak
409071,ecpi,is ecpi an accredited college in virginia,"['education', 'school', 'university', 'college', 'accredited', 'institute', 'highered', 'academic', 'program', 'degree']",highered
978802,browerville,where is browerville mn,"['town', 'village', 'locale', 'community', 'region', 'area', 'district', 'municipality', 'county', 'rural']",locale
20432,aqsarniit,aqsarniit meaning,"['twilight', 'dusk', 'dawn', 'light', 'sky', 'evening', 'morning', 'glow', 'night', 'arctic']",glow
720013,arzoo,what is arzoo,"['desire', 'wish', 'hope', 'dream', 'aspiration', 'goal', 'yearning', 'longing', 'ambition', 'craving']",aspiration
1091206,putrescine,putrescine definition,"['amine', 'chemical', 'decomposition', 'biogenic', 'toxic', 'odor', 'organic', 'compound', 'nitrogenous', 'biodegradable']",nitrogenous
1002940,iheartradio,when was iheartradio founded,"['radio', 'streaming', 'music', 'media', 'broadcast', 'audio', 'entertainment', 'digital', 'platform', 'network']",media
60339,stroganoff,calories in ground beef stroganoff,"['dish', 'russian', 'creamy', 'sauce', 'beef', 'meal', 'cuisine', 'cooking', 'recipe', 'dinner']",beef
1101668,denora,denora anodes,"['electrodes', 'electrolysis', 'industrial', 'chemical', 'technology', 'corrosion', 'engineering', 'cathodic', 'protection', 'metal']",electrolysis
435412,lakegirl,lakegirl address,"['brand', 'apparel', 'fashion', 'casual', 'lifestyle', 'clothing', 'outdoor', 'retail', 'store', 'wear']",retail
126821,scooped,define scooped out,"['hollowed', 'carved', 'excavated', 'removed', 'dug', 'shaped', 'indented', 'gouged', 'cleared', 'emptied']",carved
1094996,tacko,how tall is tacko fall,"['basketball', 'player', 'giant', 'height', 'sports', 'center', 'tall', 'athlete', 'court', 'game']",giant
605651,emmett,what county is emmett ks in,"['town', 'kansas', 'community', 'locale', 'region', 'rural', 'area', 'county', 'municipality', 'settlement']",rural
197024,greenhorns,greenhorns meaning,"['novices', 'beginners', 'newcomers', 'rookies', 'neophytes', 'amateurs', 'tyros', 'inexperienced', 'fresh', 'trainees']",trainees
44072,chatsworth,average snowfall in chatsworth ga,"['town', 'georgia', 'weather', 'climate', 'snow', 'winter', 'meteorology', 'conditions', 'cold', 'seasonal']",meteorology
478054,paducah,population of paducah tx,"['town', 'texas', 'community', 'demographics', 'residents', 'census', 'locale', 'area', 'municipality', 'rural']",locale
212477,ouachita,how deep is lake ouachita,"['lake', 'arkansas', 'water', 'depth', 'fishing', 'reservoir', 'nature', 'recreation', 'outdoor', 'aquatic']",depth
100020,cortana,cortana what is the date of the eclipse,"['assistant', 'ai', 'microsoft', 'voice', 'smart', 'help', 'technology', 'software', 'digital', 'query']",ai
610132,neodesha,what county is neodesha ks in,"['town', 'kansas', 'community', 'locale', 'region', 'rural', 'area', 'county', 'municipality', 'settlement']",locale
195582,dammam,gold price in ksa dammam,"['city', 'saudiarabia', 'market', 'economy', 'metal', 'trade', 'commerce', 'value', 'investment', 'precious']",saudiarabia
1099761,ari,ari fleet repair phone number,"['fleet', 'vehicles', 'service', 'maintenance', 'automotive', 'management', 'repair', 'logistics', 'transport', 'corporate']",corporate
1058515,cladribine,what is cladribine,"['drug', 'medication', 'chemotherapy', 'treatment', 'cancer', 'ms', 'pharmaceutical', 'therapy', 'medicine', 'health']",ms
1085348,polson,what county is polson montana in?,"['city', 'montana', 'lake', 'community', 'region', 'rural', 'locale', 'area', 'county', 'town']",montana
992257,desperation,who authored desperation,"['stephenking', 'novel', 'book', 'horror', 'thriller', 'fiction', 'story', 'literature', 'author', 'writing']",thriller
478295,tigard,population of tigard oregon,"['city', 'oregon', 'community', 'demographics', 'residents', 'census', 'locale', 'suburb', 'area', 'metropolitan']",metropolitan
1092159,northwoods,northwoods transfer station hours,"['recycling', 'waste', 'disposal', 'management', 'environment', 'facility', 'service', 'hours', 'operation', 'station']",station
389258,hughes,hughes federal routing number,"['bank', 'creditunion', 'financial', 'routing', 'account', 'money', 'transaction', 'banking', 'institution', 'service']",creditunion
1051372,cineplex,cost for child cineplex,"['theater', 'movies', 'cinema', 'entertainment', 'tickets', 'film', 'screening', 'family', 'outing', 'price']",cinema
292225,molasses,how many people died in the molasses flood,"['disaster', 'boston', 'flood', '1919', 'accident', 'tragedy', 'historical', 'event', 'catastrophe', 'emergency']",catastrophe
748935,fraenulum?,what is fraenulum?,"['anatomy', 'biology', 'tissue', 'body', 'membrane', 'connective', 'human', 'part', 'physical', 'structure']",tissue
780336,orthorexia,what is orthorexia,"['eatingdisorder', 'nutrition', 'health', 'obsession', 'diet', 'mentalhealth', 'wellness', 'food', 'behavior', 'condition']",eatingdisorder
196111,gorm,gorm the dissolver,"['mythology', 'legend', 'norse', 'king', 'ancient', 'warrior', 'saga', 'history', 'viking', 'tale']",saga
775355,natamycin,what is natamycin,"['preservative', 'antifungal', 'foodsafety', 'additive', 'chemical', 'pharmaceutical', 'treatment', 'microbial', 'organic', 'compound']",preservative
985905,sentral,where is kl sentral,"['station', 'transport', 'hub', 'kualalumpur', 'transit', 'rail', 'center', 'travel', 'terminal', 'malaysia']",center
537995,cottafavi,vittorio cottafavi,"['director', 'filmmaker', 'cinema', 'italian', 'movies', 'film', 'art', 'auteur', 'screen', 'vintage']",auteur
194724,gesundheit,gesundheit meaning,"['blessyou', 'health', 'german', 'wellness', 'expression', 'salute', 'sneeze', 'greeting', 'word', 'culture']",blessyou
61531,campagnolo,campagnolo bikes,"['cycling', 'bicycle', 'gear', 'italian', 'components', 'racing', 'wheels', 'sport', 'highend', 'quality']",highend
544060,dresden,weather in dresden august,"['city', 'germany', 'climate', 'summer', 'forecast', 'temperature', 'tourism', 'saxony', 'season', 'weather']",summer
639084,hortensia,what does hortensia mean in english,"['hydrangea', 'flower', 'plant', 'botany', 'garden', 'flora', 'bloom', 'nature', 'beauty', 'horticulture']",hydrangea
863187,wintv,what is wintv,"['software', 'television', 'pc', 'media', 'broadcast', 'digital', 'tuner', 'video', 'streaming', 'technology']",media
525047,trumbull,trumbull marriott fax number,"['hotel', 'service', 'hospitality', 'accommodation', 'marriott', 'business', 'contact', 'corporate', 'guest', 'stay']",corporate
760930,islet,what is islet transplantation,"['medical', 'diabetes', 'treatment', 'pancreas', 'health', 'surgery', 'therapy', 'transplant', 'clinical', 'cell']",cell
1088958,cadi,cadi b age,"['celebrity', 'rapper', 'music', 'artist', 'entertainment', 'star', 'performer', 'fame', 'culture', 'personality']",star
575616,ankole,what are the weight an ankole cattle,"['cattle', 'breed', 'cow', 'livestock', 'african', 'horns', 'farm', 'ranch', 'animal', 'agriculture']",livestock
1091654,parisian,phone number for parisian beauty school,"['cosmetology', 'beauty', 'school', 'education', 'fashion', 'styling', 'training', 'academy', 'institute', 'professional']",institute
1092394,msdcf,msdcf definition,"['funding', 'development', 'community', 'support', 'grant', 'program', 'finance', 'investment', 'social', 'project']",grant
488676,retinue,retinue define,"['entourage', 'followers', 'court', 'suite', 'group', 'staff', 'escort', 'company', 'assistants', 'crew']",group
1089763,miners,the miners state bank routing number,"['bank', 'financial', 'institution', 'money', 'deposit', 'account', 'transaction', 'savings', 'loan', 'service']",institution
990010,paihia,where is paihia,"['town', 'newzealand', 'tourism', 'travel', 'destination', 'bay', 'beach', 'island', 'locale', 'visit']",locale
61277,brat,calories per brat,"['sausage', 'food', 'nutrition', 'meal', 'meat', 'cooking', 'diet', 'caloric', 'snack', 'german']",meal
559709,plectrums,what are guitar plectrums,"['pick', 'guitar', 'music', 'instrument', 'strumming', 'accessory', 'tool', 'player', 'sound', 'performance']",strumming
